ID_obra,Tipo_ladrillo,Altura_muro,Ancho_muro,Espesor_muro,Area_muro,Cantidad_ladrillos,Cemento (Kg),Cal (Kg),Arena (m3),Cemento_albañilería (Kg)
83,Ceramico no portante 8x18x33,2.15,3.31,0.1,7.12,220.0,18.5,17.79,0.085,0.0
84,Ceramico no portante 8x18x33,2.74,2.45,0.1,6.71,218.0,17.45,16.78,0.081,0.0
85,Ceramico no portante 8x18x33,1.87,4.95,0.1,9.26,280.0,24.07,23.14,0.111,0.0
86,Ceramico no portante 8x18x33,1.97,5.05,0.1,9.95,305.0,25.87,24.87,0.119,0.0
87,Ceramico no portante 8x18x33,2.07,3.59,0.1,7.43,240.0,19.32,18.58,0.089,0.0
88,Ceramico no portante 8x18x33,1.9,5.95,0.1,11.3,330.0,29.39,28.26,0.136,0.0
89,Ceramico no portante 8x18x33,2.08,5.63,0.1,11.71,357.0,0.0,0.0,0.176,32.79
90,Ceramico no portante 8x18x33,1.9,5.11,0.1,9.71,294.0,0.0,0.0,0.146,27.19
91,Ceramico no portante 8x18x33,1.93,3.97,0.1,7.66,207.0,19.92,19.16,0.092,0.0
92,Ceramico no portante 8x18x33,1.94,4.6,0.1,8.92,280.0,0.0,0.0,0.134,24.99
93,Ceramico no portante 8x18x33,2.28,3.91,0.1,8.91,245.0,0.0,0.0,0.134,24.96
94,Ceramico no portante 8x18x33,2.96,2.05,0.1,6.07,199.0,15.78,15.17,0.073,0.0
95,Ceramico no portante 8x18x33,2.43,5.97,0.1,14.51,398.0,0.0,0.0,0.218,40.62
96,Ceramico no portante 8x18x33,1.89,2.66,0.1,5.03,142.0,0.0,0.0,0.075,14.08
97,Ceramico no portante 8x18x33,2.64,3.54,0.1,9.35,293.0,24.3,23.36,0.112,0.0
98,Ceramico no portante 8x18x33,2.94,5.56,0.1,16.35,486.0,0.0,0.0,0.245,45.77
99,Ceramico no portante 8x18x33,2.58,3.55,0.1,9.16,259.0,0.0,0.0,0.137,25.65
100,Ceramico no portante 8x18x33,2.98,4.79,0.1,14.27,431.0,0.0,0.0,0.214,39.97
101,Ceramico no portante 8x18x33,2.52,3.08,0.1,7.76,215.0,0.0,0.0,0.116,21.73
102,Ceramico no portante 8x18x33,2.94,4.9,0.1,14.41,441.0,0.0,0.0,0.216,40.34
103,Ceramico no portante 8x18x33,2.85,4.21,0.1,12.0,335.0,0.0,0.0,0.18,33.6
104,Ceramico no portante 8x18x33,2.38,5.94,0.1,14.14,413.0,36.76,35.34,0.17,0.0
105,Ceramico no portante 8x18x33,2.36,3.66,0.1,8.64,247.0,22.46,21.59,0.104,0.0
106,Ceramico no portante 8x18x33,2.78,6.0,0.1,16.68,550.0,0.0,0.0,0.25,46.7
107,Ceramico no portante 8x18x33,2.71,3.51,0.1,9.51,270.0,24.73,23.78,0.114,0.0
108,Ceramico no portante 8x18x33,2.94,4.42,0.1,12.99,368.0,33.79,32.49,0.156,0.0
109,Ceramico no portante 8x18x33,2.12,2.09,0.1,4.43,132.0,0.0,0.0,0.066,12.41
110,Ceramico no portante 8x18x33,2.82,4.21,0.1,11.87,360.0,0.0,0.0,0.178,33.24
111,Ceramico no portante 8x18x33,2.57,5.22,0.1,13.42,434.0,34.88,33.54,0.161,0.0
112,Ceramico no portante 8x18x33,2.51,3.57,0.1,8.96,265.0,0.0,0.0,0.134,25.09
113,Ceramico no portante 8x18x33,2.42,5.13,0.1,12.41,364.0,32.28,31.04,0.149,0.0
114,Ceramico no portante 8x18x33,2.94,2.59,0.1,7.61,247.0,19.8,19.04,0.091,0.0
115,Ceramico no portante 8x18x33,1.88,2.18,0.1,4.1,125.0,0.0,0.0,0.061,11.48
116,Ceramico no portante 8x18x33,2.56,2.96,0.1,7.58,208.0,0.0,0.0,0.114,21.22
117,Ceramico no portante 8x18x33,2.64,2.72,0.1,7.18,223.0,0.0,0.0,0.108,20.11
118,Ceramico no portante 8x18x33,2.6,2.69,0.1,6.99,196.0,18.18,17.48,0.084,0.0
119,Ceramico no portante 8x18x33,2.21,3.39,0.1,7.49,203.0,19.48,18.73,0.09,0.0
120,Ceramico no portante 8x18x33,2.35,2.83,0.1,6.65,194.0,17.29,16.63,0.08,0.0
121,Ceramico no portante 8x18x33,2.19,2.37,0.1,5.19,155.0,13.49,12.98,0.062,0.0
122,Ceramico no portante 8x18x33,2.91,2.24,0.1,6.52,186.0,16.95,16.3,0.078,0.0
123,Ceramico no portante 8x18x33,2.02,2.84,0.1,5.74,167.0,14.92,14.34,0.069,0.0
124,Ceramico no portante 8x18x33,2.24,3.85,0.1,8.62,271.0,0.0,0.0,0.129,24.15
125,Ceramico no portante 8x18x33,1.96,4.75,0.1,9.31,298.0,0.0,0.0,0.14,26.07
126,Ceramico no portante 8x18x33,2.84,3.42,0.1,9.71,285.0,25.25,24.28,0.117,0.0
127,Ceramico no portante 8x18x33,2.48,5.36,0.1,13.29,366.0,0.0,0.0,0.199,37.22
128,Ceramico no portante 8x18x33,2.21,3.9,0.1,8.62,251.0,22.41,21.55,0.103,0.0
129,Ceramico no portante 8x18x33,1.9,4.15,0.1,7.89,240.0,0.0,0.0,0.118,22.08
130,Ceramico no portante 8x18x33,1.95,3.14,0.1,6.12,178.0,0.0,0.0,0.092,17.14
131,Ceramico no portante 8x18x33,2.4,3.32,0.1,7.97,259.0,0.0,0.0,0.12,22.31
132,Ceramico no portante 8x18x33,2.39,5.4,0.1,12.91,355.0,33.56,32.27,0.155,0.0
133,Ceramico no portante 8x18x33,1.82,4.79,0.1,8.72,287.0,22.67,21.79,0.105,0.0
134,Ceramico no portante 8x18x33,2.96,5.46,0.1,16.16,515.0,0.0,0.0,0.242,45.25
135,Ceramico no portante 8x18x33,2.67,5.28,0.1,14.1,441.0,0.0,0.0,0.211,39.47
136,Ceramico no portante 8x18x33,2.81,2.82,0.1,7.92,259.0,20.6,19.81,0.095,0.0
137,Ceramico no portante 8x18x33,2.41,2.97,0.1,7.16,198.0,0.0,0.0,0.107,20.04
138,Ceramico no portante 8x18x33,2.41,5.73,0.1,13.81,399.0,35.9,34.52,0.166,0.0
139,Ceramico no portante 8x18x33,2.2,2.54,0.1,5.59,153.0,0.0,0.0,0.084,15.65
140,Ceramico no portante 8x18x33,2.62,2.35,0.1,6.16,171.0,16.01,15.39,0.074,0.0
141,Ceramico no portante 8x18x33,2.51,3.89,0.1,9.76,287.0,25.39,24.41,0.117,0.0
142,Ceramico no portante 8x18x33,2.7,3.63,0.1,9.8,319.0,0.0,0.0,0.147,27.44
143,Ceramico no portante 8x18x33,2.02,2.27,0.1,4.59,144.0,0.0,0.0,0.069,12.84
144,Ceramico no portante 8x18x33,2.7,5.2,0.1,14.04,448.0,36.5,35.1,0.168,0.0
145,Ceramico no portante 8x18x33,2.6,4.09,0.1,10.63,310.0,27.65,26.58,0.128,0.0
146,Ceramico no portante 8x18x33,2.62,3.81,0.1,9.98,312.0,25.95,24.96,0.12,0.0
147,Ceramico no portante 8x18x33,2.45,3.75,0.1,9.19,279.0,0.0,0.0,0.138,25.72
148,Ceramico no portante 8x18x33,2.26,4.17,0.1,9.42,305.0,24.5,23.56,0.113,0.0
149,Ceramico no portante 8x18x33,2.93,4.51,0.1,13.21,383.0,0.0,0.0,0.198,37.0
150,Ceramico no portante 8x18x33,2.44,5.58,0.1,13.62,432.0,35.4,34.04,0.163,0.0
151,Ceramico no portante 8x18x33,2.65,5.11,0.1,13.54,377.0,35.21,33.85,0.162,0.0
152,Ceramico no portante 8x18x33,2.71,5.51,0.1,14.93,433.0,0.0,0.0,0.224,41.81
153,Ceramico no portante 8x18x33,2.25,3.83,0.1,8.62,263.0,22.41,21.54,0.103,0.0
154,Ceramico no portante 8x18x33,1.98,2.92,0.1,5.78,181.0,0.0,0.0,0.087,16.19
155,Ceramico no portante 8x18x33,2.52,4.26,0.1,10.74,335.0,27.91,26.84,0.129,0.0
156,Ceramico no portante 8x18x33,2.95,3.37,0.1,9.94,281.0,25.85,24.85,0.119,0.0
157,Ceramico no portante 8x18x33,2.54,5.65,0.1,14.35,399.0,0.0,0.0,0.215,40.18
158,Ceramico no portante 8x18x33,1.82,5.49,0.1,9.99,325.0,25.98,24.98,0.12,0.0
159,Ceramico no portante 8x18x33,2.91,4.83,0.1,14.06,392.0,36.54,35.14,0.169,0.0
160,Ceramico no portante 8x18x33,2.68,5.74,0.1,15.38,500.0,40.0,38.46,0.185,0.0
161,Ceramico no portante 8x18x33,2.98,5.36,0.1,15.97,443.0,41.53,39.93,0.192,0.0
162,Ceramico no portante 8x18x33,2.07,4.43,0.1,9.17,268.0,23.84,22.93,0.11,0.0
163,Ceramico no portante 8x18x33,2.75,4.41,0.1,12.13,335.0,0.0,0.0,0.182,33.96
164,Ceramico no portante 8x18x33,2.9,3.39,0.1,9.83,285.0,0.0,0.0,0.147,27.53
165,Ceramico no portante 8x18x33,2.5,2.13,0.1,5.32,172.0,13.84,13.31,0.064,0.0
166,Ceramico no portante 8x18x33,1.84,3.25,0.1,5.98,189.0,0.0,0.0,0.09,16.74
167,Ceramico no portante 8x18x33,1.82,4.65,0.1,8.46,237.0,0.0,0.0,0.127,23.7
168,Ceramico no portante 8x18x33,2.47,5.44,0.1,13.44,405.0,34.94,33.59,0.161,0.0
169,Ceramico no portante 8x18x33,2.51,2.27,0.1,5.7,179.0,14.81,14.24,0.068,0.0
170,Ceramico no portante 8x18x33,2.36,4.5,0.1,10.62,310.0,0.0,0.0,0.159,29.74
171,Ceramico no portante 8x18x33,2.15,4.86,0.1,10.45,315.0,0.0,0.0,0.157,29.26
172,Ceramico no portante 8x18x33,2.47,2.62,0.1,6.47,181.0,0.0,0.0,0.097,18.12
173,Ceramico no portante 8x18x33,2.13,5.59,0.1,11.91,359.0,0.0,0.0,0.179,33.34
174,Ceramico no portante 8x18x33,2.66,4.64,0.1,12.34,335.0,0.0,0.0,0.185,34.56
175,Ceramico no portante 8x18x33,1.82,2.42,0.1,4.4,140.0,11.45,11.01,0.053,0.0
176,Ceramico no portante 8x18x33,2.47,4.88,0.1,12.05,383.0,31.34,30.13,0.145,0.0
177,Ceramico no portante 8x18x33,2.96,5.78,0.1,17.11,476.0,44.48,42.77,0.205,0.0
178,Ceramico no portante 8x18x33,2.56,4.94,0.1,12.65,405.0,32.88,31.62,0.152,0.0
179,Ceramico no portante 8x18x33,2.5,3.69,0.1,9.22,298.0,23.98,23.06,0.111,0.0
180,Ceramico no portante 8x18x33,2.2,5.3,0.1,11.66,340.0,0.0,0.0,0.175,32.65
181,Ceramico no portante 8x18x33,2.21,5.1,0.1,11.27,328.0,29.3,28.18,0.135,0.0
182,Ceramico no portante 8x18x33,2.97,5.12,0.1,15.21,420.0,0.0,0.0,0.228,42.58
183,Ceramico no portante 8x18x33,1.83,3.07,0.1,5.62,169.0,0.0,0.0,0.084,15.73
184,Ceramico no portante 8x18x33,2.06,4.58,0.1,9.43,278.0,24.53,23.59,0.113,0.0
185,Ceramico no portante 8x18x33,2.62,5.29,0.1,13.86,418.0,36.04,34.65,0.166,0.0
186,Ceramico no portante 8x18x33,2.13,4.22,0.1,8.99,277.0,23.37,22.47,0.108,0.0
187,Ceramico no portante 8x18x33,1.97,3.05,0.1,6.01,171.0,0.0,0.0,0.09,16.82
188,Ceramico no portante 8x18x33,2.56,3.98,0.1,10.19,310.0,0.0,0.0,0.153,28.53
189,Ceramico no portante 8x18x33,2.26,4.08,0.1,9.22,251.0,23.97,23.05,0.111,0.0
190,Ceramico no portante 8x18x33,1.91,5.08,0.1,9.7,265.0,25.23,24.26,0.116,0.0
191,Ceramico no portante 8x18x33,2.9,4.89,0.1,14.18,434.0,0.0,0.0,0.213,39.71
192,Ceramico no portante 8x18x33,2.68,2.86,0.1,7.66,208.0,0.0,0.0,0.115,21.46
193,Ceramico no portante 8x18x33,2.81,5.39,0.1,15.15,495.0,39.38,37.86,0.182,0.0
194,Ceramico no portante 8x18x33,2.73,2.43,0.1,6.63,182.0,17.25,16.58,0.08,0.0
195,Ceramico no portante 8x18x33,2.65,4.39,0.1,11.63,346.0,30.25,29.08,0.14,0.0
196,Ceramico no portante 8x18x33,2.76,4.78,0.1,13.19,377.0,0.0,0.0,0.198,36.94
197,Ceramico no portante 8x18x33,2.18,5.23,0.1,11.4,373.0,29.64,28.5,0.137,0.0
198,Ceramico no portante 8x18x33,2.34,2.74,0.1,6.41,193.0,16.67,16.03,0.077,0.0
199,Ceramico no portante 8x18x33,2.59,4.77,0.1,12.35,396.0,32.12,30.89,0.148,0.0
200,Ceramico no portante 8x18x33,2.07,5.95,0.1,12.32,402.0,0.0,0.0,0.185,34.49
201,Ceramico no portante 8x18x33,2.91,2.72,0.1,7.92,240.0,0.0,0.0,0.119,22.16
202,Ceramico no portante 8x18x33,2.64,3.19,0.1,8.42,274.0,21.9,21.05,0.101,0.0
203,Ceramico no portante 8x18x33,2.75,4.98,0.1,13.7,374.0,35.61,34.24,0.164,0.0
204,Ceramico no portante 8x18x33,2.79,2.15,0.1,6.0,183.0,15.6,15.0,0.072,0.0
205,Ceramico no portante 8x18x33,2.38,5.54,0.1,13.19,397.0,0.0,0.0,0.198,36.92
206,Ceramico no portante 8x18x33,2.75,3.28,0.1,9.02,277.0,0.0,0.0,0.135,25.26
207,Ceramico no portante 8x18x33,2.85,3.67,0.1,10.46,311.0,0.0,0.0,0.157,29.29
208,Ceramico no portante 8x18x33,2.85,4.12,0.1,11.74,383.0,30.53,29.36,0.141,0.0
209,Ceramico no portante 8x18x33,1.81,2.21,0.1,4.0,110.0,10.4,10.0,0.048,0.0
210,Ceramico no portante 8x18x33,2.85,5.94,0.1,16.93,535.0,0.0,0.0,0.254,47.4
211,Ceramico no portante 8x18x33,2.68,2.01,0.1,5.39,160.0,14.01,13.47,0.065,0.0
212,Ceramico no portante 8x18x33,2.08,2.17,0.1,4.51,122.0,0.0,0.0,0.068,12.64
213,Ceramico no portante 8x18x33,2.26,4.72,0.1,10.67,301.0,27.73,26.67,0.128,0.0
214,Ceramico no portante 8x18x33,1.91,3.67,0.1,7.01,226.0,18.23,17.52,0.084,0.0
215,Ceramico no portante 8x18x33,2.54,2.67,0.1,6.78,223.0,0.0,0.0,0.102,18.99
216,Ceramico no portante 8x18x33,2.58,4.43,0.1,11.43,343.0,29.72,28.57,0.137,0.0
217,Ceramico no portante 8x18x33,2.26,2.15,0.1,4.86,159.0,0.0,0.0,0.073,13.61
218,Ceramico no portante 8x18x33,2.56,2.87,0.1,7.35,221.0,19.1,18.37,0.088,0.0
219,Ceramico no portante 8x18x33,2.01,3.58,0.1,7.2,227.0,18.71,17.99,0.086,0.0
220,Ceramico no portante 8x18x33,2.36,4.49,0.1,10.6,333.0,0.0,0.0,0.159,29.67
221,Ceramico no portante 8x18x33,2.83,3.83,0.1,10.84,318.0,0.0,0.0,0.163,30.35
222,Ceramico no portante 8x18x33,2.82,2.14,0.1,6.03,174.0,15.69,15.09,0.072,0.0
223,Ceramico no portante 8x18x33,2.14,3.01,0.1,6.44,174.0,16.75,16.1,0.077,0.0
224,Ceramico no portante 8x18x33,1.9,2.88,0.1,5.47,170.0,0.0,0.0,0.082,15.32
225,Ceramico no portante 8x18x33,1.87,5.53,0.1,10.34,311.0,26.89,25.85,0.124,0.0
226,Ceramico no portante 8x18x33,2.22,4.71,0.1,10.46,317.0,27.19,26.14,0.125,0.0
227,Ceramico no portante 8x18x33,2.43,5.47,0.1,13.29,378.0,0.0,0.0,0.199,37.22
228,Ceramico no portante 8x18x33,2.8,4.79,0.1,13.41,416.0,34.87,33.53,0.161,0.0
229,Ceramico no portante 8x18x33,2.86,5.85,0.1,16.73,498.0,43.5,41.83,0.201,0.0
230,Ceramico no portante 8x18x33,2.2,4.97,0.1,10.93,305.0,0.0,0.0,0.164,30.62
231,Ceramico no portante 8x18x33,2.71,3.03,0.1,8.21,231.0,0.0,0.0,0.123,22.99
232,Ceramico no portante 8x18x33,2.98,4.53,0.1,13.5,385.0,35.1,33.75,0.162,0.0
233,Ceramico no portante 8x18x33,1.93,5.04,0.1,9.73,294.0,0.0,0.0,0.146,27.24
234,Ceramico no portante 8x18x33,2.02,5.01,0.1,10.12,321.0,0.0,0.0,0.152,28.34
235,Ceramico no portante 8x18x33,2.94,2.67,0.1,7.85,248.0,0.0,0.0,0.118,21.98
236,Ceramico no portante 8x18x33,2.22,4.48,0.1,9.95,271.0,0.0,0.0,0.149,27.85
237,Ceramico no portante 8x18x33,2.61,3.78,0.1,9.87,304.0,0.0,0.0,0.148,27.62
238,Ceramico no portante 8x18x33,1.83,2.09,0.1,3.82,110.0,0.0,0.0,0.057,10.71
239,Ceramico no portante 8x18x33,2.62,3.78,0.1,9.9,283.0,25.75,24.76,0.119,0.0
240,Ceramico no portante 8x18x33,2.34,2.65,0.1,6.2,196.0,16.12,15.5,0.074,0.0
241,Ceramico no portante 8x18x33,1.9,4.72,0.1,8.97,277.0,0.0,0.0,0.135,25.11
242,Ceramico no portante 8x18x33,1.98,3.73,0.1,7.39,241.0,0.0,0.0,0.111,20.68
243,Ceramico no portante 8x18x33,2.96,5.04,0.1,14.92,442.0,38.79,37.3,0.179,0.0
244,Ceramico no portante 8x18x33,2.67,4.98,0.1,13.3,374.0,0.0,0.0,0.199,37.23
245,Ceramico no portante 8x18x33,2.24,5.46,0.1,12.23,364.0,0.0,0.0,0.183,34.25
246,Ceramico no portante 8x18x33,2.04,2.36,0.1,4.81,134.0,0.0,0.0,0.072,13.48
247,Ceramico no portante 8x18x33,1.82,5.19,0.1,9.45,271.0,0.0,0.0,0.142,26.45
248,Ceramico no portante 8x18x33,2.35,2.0,0.1,4.7,143.0,0.0,0.0,0.07,13.16
249,Ceramico no portante 8x18x33,2.47,2.9,0.1,7.16,200.0,0.0,0.0,0.107,20.06
250,Ceramico no portante 8x18x33,2.35,2.05,0.1,4.82,132.0,0.0,0.0,0.072,13.49
251,Ceramico no portante 8x18x33,2.52,3.17,0.1,7.99,248.0,20.77,19.97,0.096,0.0
252,Ceramico no portante 8x18x33,2.89,4.9,0.1,14.16,446.0,0.0,0.0,0.212,39.65
253,Ceramico no portante 8x18x33,2.98,2.57,0.1,7.66,229.0,0.0,0.0,0.115,21.44
254,Ceramico no portante 8x18x33,2.73,5.76,0.1,15.72,431.0,0.0,0.0,0.236,44.03
255,Ceramico no portante 8x18x33,2.22,2.13,0.1,4.73,129.0,12.29,11.82,0.057,0.0
256,Ceramico no portante 8x18x33,2.48,4.76,0.1,11.8,375.0,0.0,0.0,0.177,33.05
257,Ceramico no portante 8x18x33,2.6,5.81,0.1,15.11,419.0,39.28,37.76,0.181,0.0
258,Ceramico no portante 8x18x33,2.54,4.45,0.1,11.3,325.0,0.0,0.0,0.17,31.65
259,Ceramico no portante 8x18x33,2.76,3.36,0.1,9.27,295.0,0.0,0.0,0.139,25.97
260,Ceramico no portante 8x18x33,2.46,4.39,0.1,10.8,342.0,0.0,0.0,0.162,30.24
